ID,CultLand,CropTillageDepth,Residue_length,Block,Harv_method,Residue_perc,Seedlings,Districts,LandPreparationMethods
ID_0RESL0UFOXQ7,25,4,27,3,0,10,6.25,lush,WetTillagePuddling TractorPlough BullockPlough
ID_8LLDOIMLWLVI,13,5,25,5,0,10,2.6,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator BullockPlough
ID_J70FQC5GY110,12,4,30,5,0,10,3.0,semi-desert,TractorPlough FourWheelTracRotavator WetTillagePuddling
ID_J8PLAUE9UYR6,10,5,27,2,0,10,2.0,desert,TractorPlough FourWheelTracRotavator
ID_DCJ6S4BGMMNP,100,5,25,7,0,10,20.0,semi-desert,WetTillagePuddling TractorPlough
ID_1OKBC5RUC3DC,1,3,30,5,0,10,0.3333333333333333,semi-desert,FourWheelTracRotavator TractorPlough
ID_Z91NVW9NEP94,20,3,26,4,0,10,6.666666666666667,lush,TractorPlough
ID_8TZXK4122Z98,5,4,30,5,0,10,1.25,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_7I6L18ON232H,20,3,25,4,0,10,6.666666666666667,lush,TractorPlough
ID_FN938QZX1UFL,10,4,30,0,0,10,2.5,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator BullockPlough
ID_7JEMYCUP2ILM,17,3,25,4,0,10,5.666666666666667,lush,TractorPlough
ID_80RRSUYBXY04,21,5,26,7,0,10,4.2,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_6XRGBCZ68FOF,30,6,27,1,0,10,5.0,semi-desert,FourWheelTracRotavator
ID_CFNTOV55MQ30,40,5,26,7,0,10,8.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_5KLMRFJWAG1J,40,6,25,7,0,10,6.666666666666667,semi-desert,TractorPlough FourWheelTracRotavator
ID_OXU4ZIG75IJT,51,4,21,4,0,10,12.75,lush,TractorPlough
ID_NSGQCCAJP1ER,35,5,24,7,0,10,7.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_SC2JCZ6KM8ZT,21,4,21,8,0,10,5.25,desert,WetTillagePuddling FourWheelTracRotavator
ID_AB5NC4SSPMKV,80,5,25,7,0,10,16.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_A5LR59D9Y4HW,28,6,30,2,0,10,4.666666666666667,desert,TractorPlough FourWheelTracRotavator
ID_OH0F8A8X91J7,8,3,28,4,0,10,2.6666666666666665,lush,TractorPlough
ID_988XOZG21EE8,20,8,30,2,0,10,2.5,desert,TractorPlough FourWheelTracRotavator
ID_8L1FFDLU9URZ,7,4,28,3,0,10,1.75,lush,TractorPlough
ID_I9625SU82D54,30,6,25,7,0,10,5.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_T2TYRX3Z114F,25,6,25,0,0,10,4.166666666666667,semi-desert,TractorPlough FourWheelTracRotavator
ID_BNDIEFDLAHGV,35,6,25,7,0,10,5.833333333333333,semi-desert,TractorPlough FourWheelTracRotavator
ID_FE7HWWPUCA2W,28,4,24,6,0,10,7.0,semi-desert,FourWheelTracRotavator TractorPlough
ID_T2R9B22MQXS0,15,3,22,6,0,10,5.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_YG7CNZHCEE7F,50,6,25,7,0,10,8.333333333333334,semi-desert,FourWheelTracRotavator TractorPlough WetTillagePuddling
ID_DVCMU8D0L2RN,10,5,29,2,0,10,2.0,desert,TractorPlough FourWheelTracRotavator
ID_LCHBCK1SX09E,13,5,25,0,0,10,2.6,semi-desert,TractorPlough FourWheelTracRotavator
ID_UAJWMCRADBV9,20,3,27,3,0,10,6.666666666666667,lush,WetTillagePuddling TractorPlough BullockPlough
ID_O997Q7TSMOBN,6,5,30,5,0,10,1.2,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_L9O87REW0IKD,40,6,28,2,0,10,6.666666666666667,desert,TractorPlough FourWheelTracRotavator
ID_VCXMKYJQDSES,80,4,28,7,1,40,20.0,semi-desert,FourWheelTracRotavator
ID_FZW99F0XO7J8,104,3,22,6,1,40,34.666666666666664,semi-desert,TractorPlough FourWheelTracRotavator
ID_BGG9FK7J41HN,20,3,30,7,0,10,6.666666666666667,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_SMLZ1EPN71J1,25,5,25,6,0,10,5.0,semi-desert,TractorPlough
ID_04L7RSU2U3WM,10,5,30,6,0,10,2.0,semi-desert,WetTillagePuddling
ID_EUQA1V66514K,10,4,25,0,0,10,2.5,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_KDRZN4F0P1NV,9,4,25,3,0,10,2.25,lush,TractorPlough
ID_VR7A8P8FTTZL,50,5,24,7,0,10,10.0,semi-desert,WetTillagePuddling TractorPlough
ID_AFFF88HBXZ8J,20,4,30,8,0,10,5.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_N5OWQLYDBCQQ,40,6,25,7,0,10,6.666666666666667,semi-desert,TractorPlough FourWheelTracRotavator WetTillagePuddling
ID_1UDKX1VPU9X8,5,5,25,0,0,10,1.0,semi-desert,FourWheelTracRotavator TractorPlough
ID_YY1U0YNZYI84,60,5,25,8,0,10,12.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_O9LYIQ7DMMCC,100,4,29,3,0,10,25.0,lush,TractorPlough BullockPlough
ID_GGK3QIBPSGC3,25,4,26,3,0,10,6.25,lush,WetTillagePuddling TractorPlough BullockPlough
ID_Q2PM0FAPTFVZ,14,5,30,5,0,10,2.8,semi-desert,FourWheelTracRotavator TractorPlough WetTillagePuddling
ID_OMBYL7DE36SB,30,4,28,3,0,10,7.5,lush,TractorPlough BullockPlough
ID_KDAPOOPFSGAZ,10,4,27,3,0,10,2.5,lush,TractorPlough
ID_RZGN0XOSYDKQ,6,4,27,0,0,10,1.5,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_VMDAUXPT6T8K,18,4,28,3,0,10,4.5,lush,TractorPlough BullockPlough
ID_J8JIL2BWLFFM,200,3,29,7,1,40,66.66666666666667,semi-desert,WetTillagePuddling Other
ID_LJFULHXD6KUM,50,5,25,7,0,10,10.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_2ZGX4MHB1OTT,10,5,30,5,0,10,2.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_B3RCFFPBHQTU,29,6,25,7,0,10,4.833333333333333,semi-desert,TractorPlough FourWheelTracRotavator
ID_JKL6DOFZ0UCJ,20,4,23,4,0,10,5.0,lush,TractorPlough
ID_WVH4QAGINXL7,10,5,30,5,0,10,2.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_4V59IHSXPXZF,40,6,25,7,0,10,6.666666666666667,semi-desert,TractorPlough FourWheelTracRotavator
ID_UC5BFUUQZWJZ,10,7,30,2,0,10,1.4285714285714286,desert,TractorPlough FourWheelTracRotavator
ID_8HE5D6I0FUJH,30,3,22,6,0,10,10.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_G109QDUDF7BK,10,4,30,5,0,10,2.5,semi-desert,TractorPlough FourWheelTracRotavator
ID_E1TRF0M3I9R4,23,5,25,7,0,10,4.6,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_729LAZT6GU4G,18,4,28,5,0,10,4.5,semi-desert,WetTillagePuddling FourWheelTracRotavator TractorPlough BullockPlough
ID_VHCI3QRYJPLJ,10,4,30,5,0,10,2.5,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_A3OT8HQTQUWN,10,3,30,5,0,10,3.3333333333333335,semi-desert,TractorPlough FourWheelTracRotavator
ID_EYHS7QCQIALB,15,4,26,6,0,10,3.75,semi-desert,TractorPlough FourWheelTracRotavator
ID_ZJU8MFMYG0Z9,10,3,25,4,0,10,3.3333333333333335,lush,TractorPlough
ID_I4UCN4HNMF87,25,8,25,2,0,10,3.125,desert,TractorPlough FourWheelTracRotavator
ID_JGP1UWBKMI6V,10,4,30,8,0,10,2.5,desert,WetTillagePuddling FourWheelTracRotavator
ID_XM9HFW5EXBHA,60,5,22,7,0,10,12.0,semi-desert,WetTillagePuddling TractorPlough
ID_2JI86W688KC3,14,4,30,5,0,10,3.5,semi-desert,TractorPlough FourWheelTracRotavator
ID_LZFFVNP4D970,10,4,30,5,0,10,2.5,semi-desert,TractorPlough
ID_3TMG1K2TODXD,190,3,28,7,0,10,63.333333333333336,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_ATFFUR5JJ7JB,20,4,25,8,0,10,5.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_BEUX80B1E1GV,30,3,30,7,0,10,10.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_6BXI5WVFYQSU,50,5,25,6,0,10,10.0,semi-desert,TractorPlough
ID_12YY9WCJI5WH,22,5,26,3,0,10,4.4,lush,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_LPVNNQASRB6K,48,2,25,7,1,40,24.0,semi-desert,FourWheelTracRotavator TractorPlough
ID_4XJJMBM1WB1V,10,5,25,6,0,10,2.0,semi-desert,WetTillagePuddling
ID_6JGGEWH2WE0Y,25,3,26,4,0,10,8.333333333333334,lush,TractorPlough
ID_ZA49RTNQ9BAL,30,5,25,7,0,10,6.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_2Y6OW4E2XLGX,45,6,25,7,0,10,7.5,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_U3U5DY0X21QN,20,8,30,2,0,10,2.5,desert,TractorPlough FourWheelTracRotavator
ID_QFBK0JVAIBRI,10,5,30,5,0,10,2.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_HYIRS657RO3W,65,6,24,7,0,10,10.833333333333334,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_MFSELOQFHUKD,30,6,22,7,0,10,5.0,semi-desert,TractorPlough
ID_NAGZ0410J9UG,30,4,25,0,0,10,7.5,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_FVSLO8JA0Q6C,32,6,5,7,0,10,5.333333333333333,semi-desert,TractorPlough
ID_DQPPS9ICSM8Y,13,4,26,3,0,10,3.25,lush,TractorPlough
ID_TWI68LEKFRLM,20,4,30,5,0,10,5.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_U1G5W1Q5SUYO,30,6,30,1,0,10,5.0,semi-desert,TractorPlough
ID_5AU9EK0CCPQT,20,5,28,2,0,10,4.0,desert,TractorPlough FourWheelTracRotavator
ID_FLKLSAUOKAZ7,20,2,25,3,0,10,10.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_SSXUCQSGWH43,60,4,28,7,1,40,15.0,semi-desert,TractorPlough
ID_QWONVXPF8TZC,13,4,28,4,0,10,3.25,lush,TractorPlough
ID_NAHPJSKL2ZM6,30,5,25,6,0,10,6.0,semi-desert,TractorPlough
ID_PFEWU8IGVQC6,20,4,26,6,0,10,5.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_RRH7I40Z43OP,18,5,30,6,0,10,3.6,semi-desert,TractorPlough FourWheelTracRotavator
ID_9XSYQGN4RIGP,10,4,28,3,0,10,2.5,lush,TractorPlough
ID_JI5NFWHR5G3H,20,8,30,2,0,10,2.5,desert,TractorPlough FourWheelTracRotavator
ID_5B4O6TZL79FK,40,6,25,7,0,10,6.666666666666667,semi-desert,TractorPlough WetTillagePuddling FourWheelTracRotavator
ID_OV3ZYBPFVC44,14,5,30,5,0,10,2.8,semi-desert,WetTillagePuddling TractorPlough BullockPlough FourWheelTracRotavator
ID_JQ6W1ZFNEMW0,15,5,25,0,0,10,3.0,semi-desert,FourWheelTracRotavator TractorPlough
ID_NM7J2GFRRAI9,15,4,29,3,0,10,3.75,lush,TractorPlough BullockPlough
ID_4QSYL3NR8HJE,25,3,27,3,0,10,8.333333333333334,lush,WetTillagePuddling TractorPlough BullockPlough
ID_T97RZQ4SHGDU,30,6,22,7,0,10,5.0,semi-desert,TractorPlough
ID_D745XUCAJ5ZM,15,5,26,5,0,10,3.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_LCAGWH7DDCL2,30,3,27,3,0,10,10.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_8J88R34F26YZ,25,4,21,8,0,10,6.25,desert,WetTillagePuddling FourWheelTracRotavator
ID_K2JISO6K5XMC,25,5,28,2,0,10,5.0,desert,FourWheelTracRotavator TractorPlough
ID_IUUBOWLMZW7H,5,5,30,5,0,10,1.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_93O1HY50WC38,70,3,30,7,0,10,23.333333333333332,semi-desert,WetTillagePuddling Other
ID_KMZNOOKXU6H5,26,5,27,2,0,10,5.2,desert,TractorPlough FourWheelTracRotavator
ID_CU907MUZN1UH,30,8,23,7,0,10,3.75,semi-desert,TractorPlough
ID_REF3CM0WC96H,35,4,26,3,0,10,8.75,lush,WetTillagePuddling TractorPlough BullockPlough
ID_MQOQHDWLGQXO,80,6,25,7,0,10,13.333333333333334,semi-desert,TractorPlough WetTillagePuddling FourWheelTracRotavator
ID_R5PVYCI6SA9N,32,6,25,7,0,10,5.333333333333333,semi-desert,TractorPlough FourWheelTracRotavator
ID_Z4M5UHSQG76E,40,5,25,7,0,10,8.0,semi-desert,WetTillagePuddling TractorPlough
ID_7VBMN67CVA4F,110,6,25,7,0,10,18.333333333333332,semi-desert,TractorPlough WetTillagePuddling FourWheelTracRotavator
ID_WTB2N8U23AJ3,19,4,25,8,0,10,4.75,desert,WetTillagePuddling FourWheelTracRotavator
ID_05GY06F13PQ4,10,4,30,5,0,10,2.5,semi-desert,TractorPlough
ID_ROAUNBSNIV3T,80,4,25,7,1,40,20.0,semi-desert,TractorPlough
ID_FKA98I1GIVCE,8,4,29,3,0,10,2.0,lush,TractorPlough BullockPlough
ID_1EXC9UPPFSF1,60,6,30,2,0,10,10.0,desert,TractorPlough FourWheelTracRotavator
ID_9GZXNQSUVR91,26,3,30,5,0,10,8.666666666666666,semi-desert,TractorPlough
ID_8HCUM63PUYWS,10,4,29,3,0,10,2.5,lush,TractorPlough BullockPlough
ID_GYF4H7I87DUB,10,5,28,2,0,10,2.0,desert,FourWheelTracRotavator TractorPlough
ID_V5P4MADISL3F,7,4,28,3,0,10,1.75,lush,TractorPlough
ID_ERA39X5AJIX6,5,4,30,5,0,10,1.25,semi-desert,TractorPlough FourWheelTracRotavator
ID_9HCC4GC8T6M0,40,6,30,2,0,10,6.666666666666667,desert,TractorPlough FourWheelTracRotavator
ID_PF01DY2EJEN0,60,5,25,7,0,10,12.0,semi-desert,WetTillagePuddling TractorPlough
ID_ACQY97K08190,50,5,24,7,0,10,10.0,semi-desert,WetTillagePuddling TractorPlough
ID_J3VMRHEF4QA4,20,4,29,3,0,10,5.0,lush,TractorPlough BullockPlough
ID_CIFVQ2CYKRJ3,20,5,28,2,0,10,4.0,desert,TractorPlough FourWheelTracRotavator
ID_NJBXDJLHIH1V,45,3,28,4,0,10,15.0,lush,TractorPlough
ID_F0KIQPXOKF52,30,5,24,7,0,10,6.0,semi-desert,WetTillagePuddling TractorPlough
ID_PFH8DSLML58A,12,3,28,5,0,10,4.0,semi-desert,FourWheelTracRotavator BullockPlough WetTillagePuddling TractorPlough
ID_NFYVVE7X0C1M,7,4,30,5,0,10,1.75,semi-desert,TractorPlough FourWheelTracRotavator
ID_6ML2K3M76UFC,20,5,30,5,0,10,4.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator BullockPlough
ID_QKZP2CTLF71C,36,4,23,4,0,10,9.0,lush,TractorPlough
ID_ESESIJOWTSTE,20,8,30,2,0,10,2.5,desert,TractorPlough FourWheelTracRotavator
ID_8C6LU1QC6H6Y,23,4,27,3,0,10,5.75,lush,WetTillagePuddling TractorPlough BullockPlough
ID_UL9WZ5FHZHED,280,3,30,7,1,40,93.33333333333333,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_D0QOF2YTG71R,18,3,26,4,0,10,6.0,lush,TractorPlough
ID_OX8UOEM9S438,20,4,27,6,0,10,5.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_XGATTTN879NR,10,5,30,2,0,10,2.0,desert,TractorPlough FourWheelTracRotavator
ID_90IBO92HGZYD,40,7,30,2,0,10,5.714285714285714,desert,TractorPlough FourWheelTracRotavator
ID_1MCR4JTLF1TD,15,4,26,4,0,10,3.75,lush,TractorPlough
ID_LGQ0I5U8HCDP,28,4,21,4,0,10,7.0,lush,TractorPlough
ID_RW2SDDYZF8DW,30,4,29,3,0,10,7.5,lush,TractorPlough BullockPlough
ID_U8QHKST5WMU0,26,4,24,8,0,10,6.5,desert,WetTillagePuddling FourWheelTracRotavator
ID_KROAZD0W5I3X,25,4,22,4,0,10,6.25,lush,TractorPlough
ID_VRSH1037J3A1,15,4,26,3,0,10,3.75,lush,WetTillagePuddling TractorPlough BullockPlough
ID_ZFX2M9ICIV85,7,4,27,0,0,10,1.75,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_HSWMG2UG1PDM,20,4,26,3,0,10,5.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_EXSKHO14P59P,5,4,30,5,0,10,1.25,semi-desert,TractorPlough FourWheelTracRotavator
ID_44G5ZMDTYUB6,20,4,24,7,0,10,5.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_W9ARHP66H6EL,3,4,30,5,0,10,0.75,semi-desert,TractorPlough FourWheelTracRotavator
ID_8TPN39G4J7EI,20,4,26,3,0,10,5.0,lush,TractorPlough WetTillagePuddling BullockPlough
ID_SLUSLWA4ESWK,20,6,28,1,0,10,3.3333333333333335,semi-desert,TractorPlough
ID_A1V1P6KNI4EK,29,4,21,4,0,10,7.25,lush,TractorPlough
ID_L6VGWMGZL00T,100,6,25,7,0,10,16.666666666666668,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_E6XS2BSS30VB,28,4,22,4,0,10,7.0,lush,TractorPlough
ID_9I73POBIRQBQ,40,6,27,2,0,10,6.666666666666667,desert,WetTillagePuddling TractorPlough
ID_5CYW01AB8KWW,25,5,25,7,0,10,5.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_RVCSJHIV3MBK,10,4,30,8,0,10,2.5,desert,WetTillagePuddling TractorPlough
ID_ATIZF3RRG0ZR,20,4,30,8,0,10,5.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_M4WWZ93YVNLD,22,4,21,4,0,10,5.5,lush,TractorPlough
ID_X4GJ1KDZ0K1B,140,5,26,7,0,10,28.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_K1U8YRP35RDB,20,4,30,0,0,10,5.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_2Z2M6TNIVMK8,12,4,27,3,0,10,3.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_YQR91QHEBZ8N,20,3,30,7,0,10,6.666666666666667,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_1XD3SPW1446F,20,6,25,7,0,10,3.3333333333333335,semi-desert,FourWheelTracRotavator TractorPlough WetTillagePuddling
ID_KZCAN1MVBNE3,25,3,22,6,0,10,8.333333333333334,semi-desert,TractorPlough FourWheelTracRotavator
ID_46YZABQN5IM4,41,6,25,7,0,10,6.833333333333333,semi-desert,TractorPlough FourWheelTracRotavator WetTillagePuddling
ID_HGFTG98JAI8E,49,4,21,4,0,10,12.25,lush,TractorPlough
ID_8BN2N0BXU26A,14,3,26,3,0,10,4.666666666666667,lush,WetTillagePuddling BullockPlough TractorPlough
ID_7TF0NIEK0BM4,10,3,30,5,0,10,3.3333333333333335,semi-desert,TractorPlough FourWheelTracRotavator
ID_5D1MC71RBFLD,25,2,25,7,1,40,12.5,semi-desert,TractorPlough FourWheelTracRotavator
ID_0CWJ9SCPBKHR,30,6,22,7,0,10,5.0,semi-desert,TractorPlough
ID_1QG77XT8LND6,24,4,26,8,0,10,6.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_20EMPOW476HA,65,5,26,7,0,10,13.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_VPURPXRQ8G6L,10,3,28,4,0,10,3.3333333333333335,lush,TractorPlough
ID_6ZU5NZHR4OA8,50,6,30,2,0,10,8.333333333333334,desert,TractorPlough FourWheelTracRotavator
ID_A78XVXFVSY2A,20,2,26,0,0,10,10.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_PBH1HYD57YUE,15,5,30,5,0,10,3.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_MP5J1GVTOIVF,50,5,25,8,0,10,10.0,desert,WetTillagePuddling FourWheelTracRotavator
ID_P9VJKRMF6UNU,20,5,25,0,0,10,4.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_AK7NUA1IDBVJ,28,5,28,5,0,10,5.6,semi-desert,WetTillagePuddling BullockPlough TractorPlough FourWheelTracRotavator
ID_J3QQ18V5NXLN,20,4,27,3,0,10,5.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_EHWO7QGLWNVL,10,5,30,5,0,10,2.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_GH2JXQNTQ6ZP,20,5,30,2,0,10,4.0,desert,TractorPlough FourWheelTracRotavator
ID_9DG03V0JPIIZ,15,3,28,4,0,10,5.0,lush,TractorPlough
ID_5V6BYNQUXA00,25,4,27,3,0,10,6.25,lush,WetTillagePuddling TractorPlough BullockPlough
ID_09UZSYU00W9C,10,5,25,0,0,10,2.0,semi-desert,FourWheelTracRotavator TractorPlough
ID_NVVA063501C9,8,5,30,5,0,10,1.6,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator BullockPlough
ID_U7NBPE569NCJ,38,4,26,7,1,40,9.5,semi-desert,TractorPlough
ID_TWZ7O26DF1MT,20,6,30,2,0,10,3.3333333333333335,desert,TractorPlough FourWheelTracRotavator
ID_KMUQYGQ3E6JB,20,5,25,0,0,10,4.0,semi-desert,FourWheelTracRotavator TractorPlough
ID_UUA5A39I18YJ,8,4,27,3,0,10,2.0,lush,TractorPlough
ID_6R1KFW24UV0R,20,4,27,3,0,10,5.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_0Y4O7X6GIWZ0,40,6,25,7,0,10,6.666666666666667,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_P10F6O4P4O3N,5,3,30,5,0,10,1.6666666666666667,semi-desert,TractorPlough
ID_3YKU3HH5JR5I,9,4,27,0,0,10,2.25,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_YYHVFPU1RCAX,35,3,30,7,0,10,11.666666666666666,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_IZ1I670RFXIQ,10,5,30,5,0,10,2.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_ZUBEAQEY9THJ,20,3,25,4,0,10,6.666666666666667,lush,TractorPlough
ID_I31MWX5V6C81,30,6,22,7,0,10,5.0,semi-desert,TractorPlough
ID_0YEEHWQB78BZ,40,5,25,6,0,10,8.0,semi-desert,TractorPlough
ID_SK3CEP5VF643,50,6,23,7,0,10,8.333333333333334,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_4D7TGOXL3FPI,25,4,26,3,0,10,6.25,lush,WetTillagePuddling TractorPlough BullockPlough
ID_BPGZZ8PG90E0,25,3,27,3,0,10,8.333333333333334,lush,WetTillagePuddling TractorPlough BullockPlough
ID_220K6OW5PEWS,25,5,30,5,0,10,5.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator BullockPlough
ID_I8PY7R4CSWV6,60,5,27,7,0,10,12.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_QBHL085M56V5,5,5,30,5,0,10,1.0,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator BullockPlough
ID_V3DFMPP9UX1V,10,6,28,1,0,10,1.6666666666666667,semi-desert,TractorPlough
ID_IMKLG8V0DV2J,45,2,29,7,1,40,22.5,semi-desert,TractorPlough FourWheelTracRotavator
ID_DV5Q3L8VP1JU,20,6,25,7,0,10,3.3333333333333335,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator
ID_2JM86GZJT27U,10,5,25,0,0,10,2.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_PNWFXH6NC1T4,15,5,26,2,0,10,3.0,desert,TractorPlough FourWheelTracRotavator
ID_D02S6X1T7QLG,10,5,30,5,0,10,2.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_KCBT7VCA13K7,8,4,29,3,0,10,2.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_5JKI5OA6S84N,45,3,28,4,0,10,15.0,lush,TractorPlough
ID_CCGH8886I4CE,10,4,29,3,0,10,2.5,lush,TractorPlough
ID_26KTHCLC1ZN7,48,2,26,7,0,10,24.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_FAI68TRMG9PF,80,5,24,7,0,10,16.0,semi-desert,WetTillagePuddling TractorPlough
ID_K2XHWZNSO79C,10,6,29,1,0,10,1.6666666666666667,semi-desert,TractorPlough
ID_DXF2NOJC51LI,32,5,23,7,0,10,6.4,semi-desert,TractorPlough
ID_VI5A18UQMUOQ,15,4,28,3,0,10,3.75,lush,WetTillagePuddling BullockPlough TractorPlough
ID_KXIA64UAM7OS,5,4,30,5,0,10,1.25,semi-desert,TractorPlough FourWheelTracRotavator
ID_L7UX6SI4JCZK,30,3,25,6,0,10,10.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_6RLPJMIQ9IKM,30,4,25,6,0,10,7.5,semi-desert,TractorPlough FourWheelTracRotavator
ID_L07WVJ6HIW9P,15,5,30,5,0,10,3.0,semi-desert,FourWheelTracRotavator TractorPlough WetTillagePuddling
ID_PPUOYY1GMVG7,60,4,22,6,1,40,15.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_DR2DHS9YY5OD,17,4,27,3,0,10,4.25,lush,TractorPlough
ID_4TN5CW8O07Y9,46,2,29,7,1,40,23.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_O9SMNC4FO4TK,5,4,28,3,0,10,1.25,lush,TractorPlough
ID_DNQOFOCIFRFK,25,4,28,4,0,10,6.25,lush,TractorPlough
ID_QHL52UEIR7QR,9,4,25,3,0,10,2.25,lush,TractorPlough
ID_VO4YUH7LRJWJ,35,3,25,4,0,10,11.666666666666666,lush,TractorPlough
ID_37YSOEI3E32Z,20,3,30,5,0,10,6.666666666666667,semi-desert,WetTillagePuddling TractorPlough FourWheelTracRotavator BullockPlough
ID_0E5M8MEHFDMD,30,6,30,7,0,10,5.0,semi-desert,TractorPlough
ID_YN8W1W5KL1SL,20,3,26,4,0,10,6.666666666666667,lush,TractorPlough
ID_PYXEC39XUGZD,15,6,25,7,0,10,2.5,semi-desert,TractorPlough FourWheelTracRotavator WetTillagePuddling
ID_IQ4K1JMM4P64,55,4,25,7,1,40,13.75,semi-desert,FourWheelTracRotavator
ID_UWJXV4D1FXSW,30,3,26,3,0,10,10.0,lush,WetTillagePuddling TractorPlough BullockPlough
ID_DOJVTLH25ID2,30,4,28,3,0,10,7.5,lush,WetTillagePuddling TractorPlough BullockPlough
ID_66UQX8CAHZ6H,20,5,30,5,0,10,4.0,semi-desert,TractorPlough FourWheelTracRotavator
ID_KXEBWX4A51KQ,5,4,30,5,0,10,1.25,semi-desert,TractorPlough FourWheelTracRotavator
ID_VF0HTIMKJGNZ,12,5,20,5,0,10,2.4,semi-desert,WetTillagePuddling FourWheelTracRotavator TractorPlough BullockPlough
ID_WYVP3GVPBLDB,12,4,29,3,0,10,3.0,lush,TractorPlough
